,O1 A,O1 A1,O1 B,O1 C,O2,O3,O4,O4.2,O5 ab,O5 ac,O6,O6.2,O6.3,O7,O8,O9,O9 a,O10,O11,O12,O13,O15,O16,O16.2,O16.3,O17,O18 A,O18 A1,O18 A1A2,O18 ab,O18 ac,O18 B,O18 B1,O19 ab,O20 ab,O20 ac,O21,O22,O23 A,O24,O25,O26,O27,O28 ab,O28 ac,O29,O30,O32,O35,O36,O37,O38,O39,O40,O41,O42,O43,O44,O45,O45 rel,O46,O48,O49,O52,O53,O55,O56,O58,O59,O61,O62,O64,O65,O66,O68,O69,O70,O71,O73,O73 ab,O74,O75,O76,O77,O78,O79,O82,O83,O85,O86,O86.2,O86.3,O87,O88,O90,O91,O96,O97,O98,O99,O100,O101,O102,O103,O104,O105,O107,O108,O109,O110,O111,O112 ab,O112 ac,O113,O114,O115,O116,O117,O118,O119,O120,O121,O123,O124,O125 ab,O126,O126.2,O127,O128 ab,O128 ab.2,O128 ac,O129,O130,O131,O132,O133,O134,O135,O136,O137,O138,O139,O140,O141,O142,O143,O145,O146,O147,O148,O149,O150,O151,O152,O153,O154,O155,O156,O157,O158 ab,O158 ac,O159,O160,O161,O163,O164,O165,O166,O167,O168,O169,O170,O171,O172,O173,O174 ab,O174 ac,O175,O176,O177,O178,O180,O181,O182,O183,O184,O185,O186,O187
O29,2.5,2.5,2.25,2.25,2.75,2.4166666666666665,2.0,2.25,2.5,2.5,3.0,2.5,2.75,2.5,3.0,3.1,2.5,2.5,2.5,2.0,2.5,2.6666666666666665,2.25,2.5,2.75,2.5,2.25,2.5,2.75,2.5,2.25,2.5,1.75,3.15,2.75,2.75,3.5,2.7,2.0,2.9166666666666665,2.9166666666666665,2.5833333333333335,3.5833333333333335,3.0,3.0,0.0,2.9166666666666665,3.05,2.95,2.9166666666666665,2.75,2.5,2.75,2.5,2.35,2.75,2.0,2.75,2.75,2.6666666666666665,2.75,2.25,3.0,2.5,2.5,3.0,3.0833333333333335,2.8333333333333335,2.5,3.0833333333333335,3.3333333333333335,2.25,3.0,3.0,3.05,2.7,2.25,2.5,2.75,2.75,2.75,2.5833333333333335,2.5,2.75,2.5,3.05,2.25,2.95,2.5,2.0,2.75,2.0,2.25,2.5833333333333335,2.25,2.8,2.75,3.5,2.25,2.75,2.5,3.0,3.1666666666666665,2.9,3.0,3.0,3.1,2.25,2.9166666666666665,2.25,3.0,2.25,2.75,2.5,2.5,2.0,2.7,2.9,2.0,2.5,3.0,2.5,2.5,3.0833333333333335,2.75,2.5,2.5833333333333335,2.75,2.75,2.75,2.75,2.5,3.1666666666666665,2.75,2.75,2.65,2.5,2.5,3.0,3.0,3.0,2.75,2.75,3.0,3.0,2.5,3.0833333333333335,2.5,2.5,2.5,2.8333333333333335,2.6,2.5,2.25,3.1,2.5,2.9166666666666665,2.25,2.75,3.3333333333333335,3.1666666666666665,2.0,2.5,2.8333333333333335,2.5,3.0833333333333335,2.5,2.0,2.9,2.0,2.5,2.5,2.85,2.9,2.75,2.6666666666666665,2.8333333333333335,2.8,2.75,2.5,3.0,2.5,2.25,2.6666666666666665,2.75,2.5,3.0,2.5,2.9166666666666665
O30,2.5833333333333335,2.3333333333333335,2.5,2.5,2.6666666666666665,2.6666666666666665,2.5,2.3333333333333335,2.4166666666666665,2.25,2.25,2.0833333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.6,2.6666666666666665,2.5,2.5833333333333335,2.0833333333333335,2.6666666666666665,2.0,2.5,2.5,2.4166666666666665,2.6666666666666665,2.25,2.9166666666666665,3.0,2.3333333333333335,2.5,2.4166666666666665,2.75,2.8,2.5,2.8333333333333335,2.3333333333333335,2.4,2.5833333333333335,2.6666666666666665,2.6666666666666665,2.0,3.3333333333333335,2.3333333333333335,2.3333333333333335,2.9166666666666665,0.0,2.466666666666667,2.6666666666666665,2.6666666666666665,2.75,2.0,2.3333333333333335,2.0,2.1333333333333333,2.5833333333333335,2.5,2.4166666666666665,2.0,2.0,2.5,2.5833333333333335,2.1666666666666665,2.3333333333333335,2.3333333333333335,3.3333333333333335,2.0,2.0,2.6666666666666665,2.0,3.3333333333333335,2.5,2.3333333333333335,2.4,2.6,2.3333333333333335,2.6666666666666665,2.5,3.0833333333333335,2.8333333333333335,2.0,2.0,2.3333333333333335,2.5,2.3333333333333335,2.3333333333333335,2.5,2.6,2.3333333333333335,2.75,2.5,2.5833333333333335,2.3333333333333335,2.3333333333333335,2.4166666666666665,2.3333333333333335,2.75,4.0,2.1666666666666665,3.0,2.3333333333333335,2.1666666666666665,3.0,2.466666666666667,2.5,2.8333333333333335,2.2666666666666666,2.25,2.3333333333333335,2.1666666666666665,2.6666666666666665,2.4166666666666665,2.75,2.1666666666666665,2.1666666666666665,2.25,2.1333333333333333,2.466666666666667,2.9166666666666665,2.3333333333333335,2.7333333333333334,2.5833333333333335,2.5,3.0,3.0,2.3333333333333335,2.0,2.4166666666666665,2.5833333333333335,2.5833333333333335,2.3333333333333335,2.75,3.0,2.9166666666666665,2.2666666666666666,2.466666666666667,2.5,2.6666666666666665,2.0,1.3333333333333333,2.3333333333333335,2.0,2.75,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.0,2.6666666666666665,2.4166666666666665,2.3333333333333335,2.0,2.533333333333333,2.5,2.25,2.3333333333333335,2.8333333333333335,3.0,2.5833333333333335,2.3333333333333335,2.6666666666666665,2.6666666666666665,2.1666666666666665,2.6666666666666665,2.0,2.3333333333333335,3.0,2.25,2.4166666666666665,2.533333333333333,2.25,3.0,2.4166666666666665,2.4,2.4,2.3333333333333335,1.0,1.0,2.4,2.5833333333333335,2.4166666666666665,2.2666666666666666,2.6666666666666665,2.8333333333333335,1.6666666666666667,2.6666666666666665,2.4166666666666665,2.1333333333333333,2.6666666666666665,2.3333333333333335
O32,2.6,2.35,2.55,2.5,2.5,3.0,2.05,2.5,1.9,2.05,2.55,2.5,2.45,2.45,2.2,2.0,2.25,2.5,2.35,2.05,2.75,2.066666666666667,2.7,2.25,2.0,2.5,2.2,2.85,2.85,2.3,2.0,2.2,2.85,2.0,1.8,2.7,3.066666666666667,1.2,2.55,2.8666666666666667,3.0,1.9333333333333333,3.6666666666666665,2.25,2.25,3.05,2.466666666666667,0.0,2.2,3.4,2.2,2.25,2.8,1.55,2.2,2.7,2.6,2.6,2.2666666666666666,2.2666666666666666,1.75,2.35,2.0,2.2,2.25,3.066666666666667,2.6666666666666665,2.3333333333333335,2.75,2.0,3.6,2.3,1.6,2.0,2.6,1.8,2.55,1.9,3.1,2.65,2.466666666666667,2.3333333333333335,1.9,2.15,1.85,2.0,2.25,1.4,2.35,2.45,2.6,2.5,2.0,2.533333333333333,2.15,1.2,2.35,4.2,2.1,3.3,2.45,1.6,2.8666666666666667,1.6,1.75,2.9,1.2,1.85,2.6666666666666665,1.75,3.0,2.45,2.2,2.2,1.95,2.3,1.6,1.2,2.1,2.5,2.2,2.0,2.15,2.933333333333333,3.15,2.5,2.7333333333333334,2.25,2.15,2.3,2.3,2.65,2.933333333333333,1.85,1.8,2.2,1.85,2.5,1.6,2.2,2.0,2.5,2.8,3.2666666666666666,2.2,2.35,1.8666666666666667,2.65,2.15,2.35,1.9333333333333333,2.4,2.45,2.5,1.6,2.85,3.1333333333333333,2.25,2.05,3.1333333333333333,3.2,2.45,2.2,2.0,2.0,2.933333333333333,2.15,2.25,2.4,2.65,2.55,2.3,1.4,1.8,2.4,2.3333333333333335,2.2,2.0,2.1,2.2,1.6,2.1,2.35,2.3333333333333335,2.9,2.2,1.6,2.15,1.9333333333333333
O35,1.85,1.9,1.75,1.7,1.65,3.066666666666667,2.05,2.15,2.45,2.15,2.55,2.55,2.4,2.2,2.0,2.0,2.15,1.95,2.55,2.15,1.6,2.0,2.5,2.1,2.35,2.6,2.3,2.75,2.75,2.35,2.05,2.25,2.8,1.2,2.2,2.7,3.2666666666666666,2.2,2.9,2.6666666666666665,2.8666666666666667,1.9333333333333333,4.133333333333334,2.35,2.3,2.95,2.6666666666666665,2.2,0.0,2.8666666666666667,2.65,2.4,2.0,2.35,2.4,2.45,2.45,2.5,2.066666666666667,2.066666666666667,2.5,2.15,2.2,1.8,2.0,3.0,2.4,2.6,2.45,2.2666666666666666,3.1333333333333333,2.3,2.0,1.4,2.2,1.6,2.55,2.2,2.9,2.5,2.6,2.4,2.65,2.3,2.5,2.2,2.75,2.4,2.35,2.45,2.25,2.35,2.2,2.533333333333333,2.15,2.4,2.4,3.5,2.05,2.8,1.85,2.8,3.3333333333333335,1.8,2.5,2.35,2.2,2.45,2.533333333333333,2.4,3.2666666666666666,2.5,2.5,2.55,2.3,2.4,2.0,2.2,2.15,2.15,1.2,2.45,2.4,3.533333333333333,2.95,2.4,2.4,2.3,2.55,2.45,2.55,1.8,3.4,2.6,1.4,1.8,2.45,1.9,2.6666666666666665,2.8666666666666667,1.6,1.6666666666666667,2.75,2.8666666666666667,2.3,2.45,2.2,1.8,1.85,1.8,2.1333333333333333,1.2,2.3,2.2,2.4,1.65,3.3333333333333335,2.6,2.15,3.066666666666667,3.066666666666667,2.4,2.4,2.2666666666666666,2.4,3.3333333333333335,2.6,2.6,1.8,2.5,3.05,2.35,2.0,2.0,2.3,2.466666666666667,2.6,1.8,2.3,1.75,2.2,2.1,2.5,2.533333333333333,3.05,2.1,2.0,2.25,2.1666666666666665
O36,2.6666666666666665,3.0833333333333335,3.0833333333333335,2.9166666666666665,2.8333333333333335,2.6666666666666665,2.9166666666666665,2.8333333333333335,3.3333333333333335,2.8333333333333335,2.9166666666666665,2.75,2.9166666666666665,2.8333333333333335,2.6666666666666665,2.933333333333333,2.75,2.9166666666666665,2.5833333333333335,3.0,3.0833333333333335,2.3333333333333335,3.4166666666666665,2.8333333333333335,3.1666666666666665,3.3333333333333335,3.0833333333333335,3.3333333333333335,2.8333333333333335,3.3333333333333335,2.8333333333333335,3.25,3.25,3.066666666666667,3.3333333333333335,3.5,2.6666666666666665,3.1333333333333333,3.0833333333333335,3.0,2.0,3.0,3.3333333333333335,2.8333333333333335,3.0833333333333335,2.9166666666666665,2.6666666666666665,3.4,2.8666666666666667,0.0,3.0833333333333335,3.1666666666666665,2.5833333333333335,3.0833333333333335,2.8,3.1666666666666665,2.1666666666666665,3.4166666666666665,2.6666666666666665,2.3333333333333335,3.3333333333333335,2.6666666666666665,3.0,2.6666666666666665,3.3333333333333335,2.3333333333333335,3.0,3.0,2.8333333333333335,3.3333333333333335,3.0,3.0,3.3333333333333335,3.2666666666666666,3.1333333333333333,3.066666666666667,3.0833333333333335,3.0,3.3333333333333335,3.4166666666666665,2.3333333333333335,3.0,3.0833333333333335,3.0833333333333335,2.8333333333333335,2.8666666666666667,3.1666666666666665,3.533333333333333,3.3333333333333335,2.9166666666666665,2.9166666666666665,3.0,3.0833333333333335,2.6666666666666665,3.0833333333333335,3.066666666666667,3.1666666666666665,4.0,3.0,3.25,3.0833333333333335,3.5,2.0,3.2,3.1666666666666665,3.3333333333333335,3.066666666666667,2.9166666666666665,1.6666666666666667,2.8333333333333335,2.3333333333333335,3.5,3.0,3.0833333333333335,3.0,3.0,3.2666666666666666,3.0,3.0,3.0,3.0,3.1666666666666665,3.0833333333333335,2.6666666666666665,3.0,2.8333333333333335,3.0,2.9166666666666665,3.0833333333333335,3.1666666666666665,3.0,3.0833333333333335,2.3333333333333335,3.3333333333333335,3.0,2.933333333333333,3.25,3.1666666666666665,2.6666666666666665,3.0,2.8333333333333335,2.8333333333333335,2.9166666666666665,1.6666666666666667,3.1666666666666665,3.25,2.3333333333333335,3.0833333333333335,3.1666666666666665,3.1666666666666665,2.0,2.933333333333333,3.0833333333333335,3.0833333333333335,3.1333333333333333,3.0,3.0,2.6666666666666665,3.1666666666666665,2.3333333333333335,2.3333333333333335,2.4166666666666665,3.0,2.6666666666666665,3.0,3.0,3.5,3.0833333333333335,3.2,2.75,3.25,2.8333333333333335,3.3333333333333335,3.2666666666666666,2.9166666666666665,2.3333333333333335,2.6666666666666665,3.066666666666667,3.1666666666666665,2.75,3.1333333333333333,3.3333333333333335,3.3333333333333335,2.0,3.0833333333333335,2.75,3.2,2.9166666666666665,3.0
O37,1.75,1.75,2.25,2.0,1.75,2.6666666666666665,2.25,2.25,1.5,1.75,1.5,1.75,1.75,2.0,2.3333333333333335,2.6,2.25,1.75,1.75,2.25,2.5,2.3333333333333335,2.5,2.25,2.25,2.5,2.25,3.0,2.75,2.0,2.0,2.0,2.75,2.7,2.0,2.75,2.75,2.2,2.5,2.5,3.0833333333333335,2.1666666666666665,3.4166666666666665,2.0,2.25,2.75,2.75,2.2,2.65,3.0833333333333335,0.0,1.75,1.75,1.75,2.15,2.25,1.5,2.5,2.5,2.5,1.75,1.0,1.75,2.0,1.75,2.9166666666666665,2.8333333333333335,2.4166666666666665,2.25,2.3333333333333335,3.5833333333333335,2.0,2.5,2.55,2.85,2.5,2.5,1.5,2.75,2.25,2.3333333333333335,2.4166666666666665,1.5,2.25,1.75,2.25,1.75,2.1,2.25,2.0,1.75,1.75,1.25,2.3333333333333335,1.5,2.2,2.5,4.0,1.75,3.0,1.75,2.0,2.75,2.5,1.75,2.25,1.9,1.75,2.5833333333333335,1.75,2.9166666666666665,1.75,1.25,1.75,1.5,1.75,2.5,2.0,2.0,2.0,2.4,2.0,2.0,2.6666666666666665,2.25,2.25,2.5833333333333335,2.25,1.5,1.75,1.5,2.25,2.5833333333333335,1.75,2.4,2.6,1.5,2.5,2.4166666666666665,2.6666666666666665,1.75,2.5,3.0,3.0,2.0,2.0,2.3333333333333335,2.25,1.75,2.0,2.25,2.5,2.25,2.25,2.15,2.25,2.75,2.0,1.75,2.8333333333333335,2.9166666666666665,1.75,2.0,2.5833333333333335,2.0,2.9166666666666665,1.75,1.75,2.45,2.0,2.75,2.0,1.9,2.25,2.25,2.25,2.5,2.15,2.0,2.0,2.05,2.0,2.0,2.4166666666666665,2.5,2.0,2.0,2.0,2.0833333333333335
O38,2.0,1.75,2.5,1.75,1.75,2.75,2.0,2.0,1.75,1.75,2.0,2.0,2.25,2.0,2.5,2.7,2.25,2.0,2.0,2.0,2.5,2.3333333333333335,2.0,2.0,2.0,2.25,2.75,2.5,3.0,2.0,1.75,2.0,2.75,2.75,2.25,2.75,2.8333333333333335,2.15,2.25,2.5833333333333335,3.25,2.3333333333333335,3.6666666666666665,1.75,2.25,2.5,2.0,2.25,2.4,3.1666666666666665,1.75,0.0,2.0,2.0,2.3,2.25,2.25,1.75,2.5,2.3333333333333335,1.5,2.0,1.75,2.0,1.25,2.3333333333333335,2.5833333333333335,2.1666666666666665,2.0,2.4166666666666665,3.6666666666666665,1.5,2.4,2.3,2.6,2.75,2.0,1.75,2.5,2.25,2.0833333333333335,2.1666666666666665,1.5,2.0,1.75,2.25,2.25,2.45,2.0,1.75,2.25,1.75,1.5,2.5833333333333335,2.0,2.3,2.5,3.5,1.5,3.0,2.0,2.25,2.6666666666666665,2.25,1.75,2.25,2.05,2.25,2.4166666666666665,1.75,3.3333333333333335,2.0,2.0,2.25,1.75,1.25,2.2,2.05,2.0,2.0,2.5,2.0,1.75,3.0,2.75,2.25,2.6666666666666665,2.25,1.25,1.25,1.25,2.25,2.6666666666666665,1.75,2.3,2.45,1.5,2.25,2.5,2.4166666666666665,1.5,2.1666666666666665,2.75,3.0,2.0,1.75,2.1666666666666665,2.0,2.0,2.0,2.3333333333333335,2.6,2.25,2.5,2.3,2.0,3.0,2.0,1.75,2.9166666666666665,3.0,1.25,1.75,2.1666666666666665,1.75,2.9166666666666665,2.0,2.0,2.35,1.75,2.75,2.0,2.3,2.4,1.75,2.0833333333333335,2.3333333333333335,2.15,2.0,2.0,2.35,2.0,2.0,2.0833333333333335,2.75,2.0,2.15,2.0,2.0
O39,1.75,1.75,2.0,1.75,2.25,3.0,1.75,1.5,2.0,2.0,1.5,1.5,2.0,0.75,2.0833333333333335,2.1,1.5,1.5,1.5,2.5,2.0,2.1666666666666665,2.25,1.75,2.0,2.0,2.0,2.5,2.5,1.75,2.0,1.75,2.25,2.4,2.0,2.0,2.9166666666666665,2.4,2.5,2.8333333333333335,3.25,2.25,4.0,2.25,2.0,2.75,2.3333333333333335,2.8,2.0,2.5833333333333335,1.75,2.0,0.0,1.75,2.2,1.75,2.0,1.75,2.25,2.4166666666666665,2.5,2.0,1.75,2.0,2.25,3.25,2.5833333333333335,2.25,1.5,2.4166666666666665,3.25,2.0,2.35,2.05,2.4,2.05,1.75,2.0,2.0,2.25,2.25,2.5833333333333335,2.0,1.5,2.0,2.2,2.0,2.65,2.25,1.5,2.0,1.5,1.75,2.3333333333333335,2.0,2.25,2.25,3.25,1.75,2.5,2.0,2.0,2.9166666666666665,2.5,2.0,2.25,2.15,2.25,2.5,2.0,3.0833333333333335,2.0,2.25,1.5,2.0,2.0,2.5,2.35,2.0,1.75,2.2,1.5,2.0,3.25,2.25,2.0,2.6666666666666665,1.75,2.25,2.0,2.5,1.5,2.9166666666666665,2.25,2.35,2.2,2.25,2.0,2.6666666666666665,2.8333333333333335,1.75,1.75,2.75,2.5,2.5,2.25,2.4166666666666665,1.75,1.75,1.25,2.1666666666666665,2.2,2.0,2.0,2.4,1.25,3.1666666666666665,2.5,2.0,3.0,3.0,2.0,1.75,2.5833333333333335,2.0,3.5,1.75,1.75,2.6,2.25,3.25,1.5,2.6,2.3,2.25,2.5833333333333335,2.4166666666666665,2.2,2.25,2.25,2.4,2.0,2.25,2.4166666666666665,2.25,1.75,2.35,2.0,2.1666666666666665
O40,2.0,2.0,1.75,2.0,1.75,3.0,1.25,2.25,1.25,1.25,1.75,2.0,2.0,2.25,1.8333333333333333,1.95,1.5,2.25,2.0,1.25,1.75,1.4166666666666667,2.0,1.5,1.75,2.25,1.5,2.0,2.75,1.75,1.5,1.75,2.5,2.25,1.25,2.25,2.5833333333333335,1.85,2.5,2.5833333333333335,3.0833333333333335,1.5833333333333333,3.9166666666666665,1.75,1.5,2.5,2.0,1.55,2.35,3.0833333333333335,1.75,2.0,1.75,0.0,2.1,2.25,2.0,2.0,1.9166666666666667,1.6666666666666667,1.75,2.0,1.0,1.75,2.5,2.75,2.6666666666666665,2.1666666666666665,2.25,1.9166666666666667,3.5,1.75,1.75,1.9,2.7,1.9,1.75,1.5,2.75,1.75,2.1666666666666665,2.0,1.25,1.75,0.75,2.05,1.5,1.8,2.0,1.75,2.0,1.75,1.5,2.4166666666666665,1.25,1.4,2.25,3.75,1.5,2.75,1.5,1.75,3.0833333333333335,1.9,1.25,2.5,1.75,1.25,2.3333333333333335,1.0,2.5,1.75,1.75,2.25,1.5,1.75,1.6,1.75,1.5,1.5,2.3,1.25,1.75,3.1666666666666665,2.25,2.25,1.8333333333333333,1.5,2.0,1.75,1.5,2.25,2.8333333333333335,1.75,1.75,2.4,1.25,2.25,1.5,2.25,1.25,2.1666666666666665,2.0,3.0833333333333335,1.75,1.5,2.0833333333333335,1.75,1.5,1.5,1.5833333333333333,2.4,2.0,2.0,1.65,2.0,2.8333333333333335,2.0,1.25,3.0833333333333335,2.9166666666666665,2.0,2.0,1.8333333333333333,1.25,3.0,1.5,2.0,2.1,1.75,2.5,2.25,1.95,2.2,2.0,2.3333333333333335,2.3333333333333335,2.05,1.25,1.25,1.9,1.5,2.0,2.3333333333333335,2.5,1.5,1.85,1.75,1.9166666666666667
O41,2.2,2.2,2.5,2.05,2.45,2.8,2.1,2.55,2.35,2.35,2.25,2.3,2.4,2.25,2.4,2.0,2.35,2.0,2.1,1.9,2.5,2.0,2.55,2.45,2.2,2.8,2.5,2.85,2.95,2.25,2.35,2.1,2.7,2.2,2.3,2.7,3.0,1.6,2.8,2.7333333333333334,2.7333333333333334,1.9333333333333333,3.8,2.0,2.15,2.35,2.1333333333333333,2.2,2.4,2.8,2.15,2.3,2.2,2.1,0.0,2.35,2.15,2.8,1.9333333333333333,2.0,2.3,2.15,2.45,2.0,2.2,2.6,2.533333333333333,2.1333333333333333,2.25,2.4,3.466666666666667,2.25,2.2,1.8,2.8,1.8,2.3,2.15,2.95,2.45,2.466666666666667,2.066666666666667,2.25,2.45,2.0,2.0,2.3,2.0,2.3,2.25,2.4,2.1,2.25,2.0,1.95,2.2,2.15,3.5,2.15,3.15,2.15,2.6,3.2666666666666666,2.2,2.15,2.7,1.8,2.2,2.3333333333333335,1.8,2.6,2.25,2.5,2.05,2.1,2.15,1.8,2.4,1.85,2.3,2.0,2.1,2.0,3.2666666666666666,2.65,2.2,2.2666666666666666,2.25,2.35,2.4,2.45,2.3,3.1333333333333333,2.45,1.6,2.0,2.35,2.6,2.3333333333333335,2.533333333333333,2.2,2.3,3.0,2.8666666666666667,2.55,2.45,2.066666666666667,2.45,2.3,2.2,1.8666666666666667,1.6,2.2,2.4,2.0,2.4,2.933333333333333,1.85,2.2,3.066666666666667,2.466666666666667,1.9,2.35,2.1333333333333333,2.2,3.1333333333333333,2.25,2.1,2.4,1.8,2.85,2.05,2.0,1.6,2.2,2.2,2.4,1.8,2.55,1.9,2.0,2.15,2.45,2.0,2.8,2.05,1.8,2.2,2.1666666666666665
O42,2.0,2.0,2.0,1.75,2.0,2.75,1.75,1.75,2.25,2.0,2.0,2.0,2.0,2.0,2.3333333333333335,2.4,1.75,2.25,2.25,1.5,1.75,2.0833333333333335,1.5,2.0,1.5,2.0,2.0,2.5,2.25,2.0,1.5,2.0,2.5,2.45,2.25,2.5,3.3333333333333335,2.65,2.0,2.8333333333333335,2.9166666666666665,2.1666666666666665,3.9166666666666665,1.25,0.5,2.75,2.5833333333333335,2.7,2.45,3.1666666666666665,2.25,2.25,1.75,2.25,2.35,0.0,2.25,1.75,2.1666666666666665,1.9166666666666667,2.25,2.25,2.0,2.0,2.0,2.8333333333333335,2.4166666666666665,2.5,2.25,2.4166666666666665,3.4166666666666665,2.0,2.2,2.2,2.45,2.25,2.0,2.25,2.0,1.5,2.4166666666666665,2.4166666666666665,2.25,2.0,2.0,2.6,2.5,2.6,2.25,2.0,1.75,2.25,2.0,2.5833333333333335,1.75,2.5,2.0,3.5,1.75,2.25,1.75,2.5,3.4166666666666665,2.25,2.25,2.5,2.55,1.75,2.25,2.25,3.25,2.25,2.25,2.25,2.25,2.0,2.2,2.5,1.75,2.0,2.3,2.25,2.0,3.0833333333333335,2.5,1.75,2.1666666666666665,2.0,2.0,2.0,2.25,1.25,3.5,2.25,2.3,2.0,2.25,1.25,2.5833333333333335,2.75,2.0,2.3333333333333335,2.5,3.1666666666666665,2.0,2.25,2.3333333333333335,2.0,2.0,1.75,2.0,2.15,1.75,2.25,2.3,2.5,3.25,2.25,2.25,2.9166666666666665,3.3333333333333335,2.0,2.0,2.3333333333333335,2.0,3.1666666666666665,2.0,2.25,2.45,2.0,2.25,1.75,2.45,2.3,1.75,2.5,2.4166666666666665,2.3,2.0,1.75,2.65,2.25,2.25,2.25,2.25,1.75,2.45,1.75,2.25
O43,1.75,2.0,2.5,1.75,2.0,3.0833333333333335,2.0,1.75,1.75,1.75,2.0,2.0,2.0,1.5,2.3333333333333335,2.3,2.0,1.75,1.5,2.0,2.25,2.1666666666666665,2.25,2.0,2.0,2.25,1.75,2.25,2.25,2.25,1.75,2.5,2.0,2.55,2.25,2.5,3.0,2.3,2.5,2.5833333333333335,2.8333333333333335,2.1666666666666665,3.5,1.75,2.0,2.0,2.5,2.6,2.45,2.1666666666666665,1.5,2.25,2.0,2.0,2.15,2.25,0.0,2.25,2.3333333333333335,2.25,2.0,1.5,1.75,1.75,1.75,3.0,2.6666666666666665,2.5833333333333335,2.0,2.25,3.5,1.75,2.65,2.3,2.6,2.5,1.5,1.75,3.0,2.0,2.4166666666666665,2.75,1.75,2.25,1.75,2.4,2.0,2.75,2.25,1.75,1.75,1.75,2.0,2.25,1.5,2.55,2.5,3.25,1.5,2.5,2.0,2.25,3.0833333333333335,2.45,2.0,2.25,2.1,1.75,2.5,1.75,2.9166666666666665,2.25,1.5,2.0,1.75,2.0,2.6,2.1,2.0,2.0,2.65,1.75,2.0,3.0833333333333335,2.0,1.75,2.4166666666666665,2.0,1.5,1.5,1.5,1.75,2.8333333333333335,2.0,2.35,2.45,1.75,2.25,2.5833333333333335,2.6666666666666665,1.75,2.4166666666666665,2.5,3.1666666666666665,2.5,2.0,2.1666666666666665,2.0,2.0,2.0,2.5,2.55,2.0,2.0,2.45,1.75,3.25,2.5,1.75,2.5833333333333335,3.3333333333333335,2.0,1.5,2.5,1.75,3.0,2.0,2.0,2.5,1.0,2.25,2.0,2.15,2.3,1.75,2.6666666666666665,2.4166666666666665,2.3,1.75,2.0,2.35,2.0,2.25,2.1666666666666665,2.25,1.75,2.25,1.75,2.1666666666666665
O44,2.0,2.5,1.75,2.25,2.25,3.1666666666666665,2.0,2.0,2.25,2.25,1.75,1.75,2.0,2.0,1.75,1.8,1.25,2.25,2.25,2.0,1.75,2.4166666666666665,1.75,2.0,2.0,0.5,1.75,2.0,2.5,1.75,1.75,1.75,2.5,2.25,2.25,3.0,3.6666666666666665,2.55,2.5,2.75,3.4166666666666665,2.5,3.8333333333333335,2.0,2.0,2.75,2.4166666666666665,2.6,2.5,3.4166666666666665,2.5,1.75,1.75,2.0,2.8,1.75,2.25,0.0,2.25,2.5833333333333335,2.25,2.25,2.25,2.25,2.25,3.3333333333333335,2.6666666666666665,2.4166666666666665,2.0,2.5833333333333335,3.4166666666666665,2.5,2.35,2.3,1.65,2.45,1.75,2.25,0.75,1.5,2.5,2.75,2.25,0.5,2.0,2.5,2.25,2.45,2.5,2.25,2.25,2.0,2.25,2.5,2.25,2.55,2.0,3.75,2.25,2.25,2.0,2.25,3.0,2.4,2.25,2.75,2.45,2.0,2.5833333333333335,2.25,3.3333333333333335,2.0,2.0,2.5,2.0,1.75,2.4,2.35,2.25,2.0,2.55,2.0,2.0,3.25,2.25,2.0,2.5833333333333335,2.0,2.25,2.25,1.75,2.0,3.4166666666666665,2.25,2.4,2.15,2.0,1.5,2.5833333333333335,3.0,2.0,2.3333333333333335,2.5,2.9166666666666665,2.0,2.0,2.75,2.25,2.0,2.0,2.3333333333333335,2.4,2.75,2.0,2.45,2.5,3.5,2.5,2.0,3.25,3.3333333333333335,2.0,2.25,2.5,2.0,3.0833333333333335,2.0,2.25,2.55,2.5,1.75,2.25,2.35,2.2,2.25,2.3333333333333335,2.6666666666666665,2.05,1.5,2.0,2.3,2.0,2.25,2.75,2.0,2.0,2.4,2.25,2.3333333333333335
